Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Ryan Clark,34,Female,175 - 180 cm,Other,"Playing musical instruments, Reading, Music/Art, Cars/Motorbikes, Gaming",Yes – Dog(s),"Jazz/Blues, Electronic",Molly Williams,Comedy,Frequently (more than 3 times a week),Team sports,City breaks,Relaxing on the beach,"Starting your own business, Skydiving or bungee jumping","Regular alcohol consumption, Gambling",Female,"Athletic build, Natural look",26–35,Moderately active,3,4,"Disrespectful behavior, Lack of ambition, Poor hygiene"
Jon Butler,25,Prefer not to say,170 - 175 cm,Business,"Music/Art, Gym, Gaming","No, but I would love to",Pop,Timothy Phillips,"Science Fiction/Fantasy, Action/Adventure, Romance",Regularly (2–3 times a week),"I don't do any physical activities, Team sports","Adventure travel, City breaks",Swimming/Water sports,"Running a marathon, Skydiving or bungee jumping",Gambling,It doesn't matter,Tall,No preference,Highly active/Sporty,2,3,"Lack of ambition, Disrespectful behavior, None of the above"
Steven Gonzales,36,Male,175 - 180 cm,Engineer,"Socializing, Sports, Cooking/Baking, Tv shows/Movies",Yes – Dog(s),"Manele, Electronic",Gabriel Taylor,"Horror/Thriller, Drama, Romance",Frequently (more than 3 times a week),"Yoga/Pilates, Running/Jogging","Mountains, Countryside",Swimming/Water sports,"Starting your own business, Skydiving or bungee jumping, Learning a new language","Regular alcohol consumption, Gambling",It doesn't matter,"Stylish/Well-groomed, No strong preference",46+,No preference,1,5,Lack of ambition
Joshua Hayes,28,Prefer not to say,195 - 200 cm,Artist,"Sports, Music/Art, Traveling, Cars/Motorbikes, Tv shows/Movies",Yes – Multiple types,"Classical, Pop",Shane Craig,"Drama, Action/Adventure",Occasionally (once a week or less),"Team sports, Swimming/Water sports","Countryside, Seaside",Swimming/Water sports,"Skydiving or bungee jumping, Traveling to a new continent",Smoking,Female,"Natural look, Athletic build",36–45,Moderately active,5,1,Lack of ambition
Kimberly Thomas,38,Prefer not to say,185 - 190 cm,Teacher,"Tv shows/Movies, Hiking, Cooking/Baking, Gym",No,"Classical, Pop",Nathan Schmidt,Romance,I’m not very active,Gym/Fitness classes,Mountains,"Relaxing on the beach, Sightseeing/Cultural tours",Starting your own business,None of the above,Prefer not to say,Athletic build,46+,Moderately active,1,5,"Poor hygiene, Lack of ambition"
Nathaniel Davis,27,Prefer not to say,150 - 155 cm,Healthcare,Gym,Yes – Multiple types,"Classical, Jazz/Blues, Manele",Meghan Bryant,"Horror/Thriller, Comedy",Regularly (2–3 times a week),"Team sports, Running/Jogging",Adventure travel,"Relaxing on the beach, Sightseeing/Cultural tours","Running a marathon, Learning a new language","None of the above, Prefer not to say",It doesn't matter,"Stylish/Well-groomed, Tall",26–35,Moderately active,1,2,"Poor hygiene, Lack of ambition, Excessive drinking"
Sue Weiss,36,Prefer not to say,155 - 160 cm,IT Professional,"Tv shows/Movies, Reading, Gym",No,Rock,Jeff Morrow,Comedy,I’m not very active,Gym/Fitness classes,Mountains,"Sightseeing/Cultural tours, Relaxing on the beach","Skydiving or bungee jumping, Starting your own business, Running a marathon","Smoking, Regular alcohol consumption",It doesn't matter,"Natural look, No strong preference",No preference,Highly active/Sporty,5,3,"Lack of ambition, Smoking"
Daniel Shah,36,Female,165 - 170 cm,Teacher,"Cooking/Baking, Playing musical instruments, Tv shows/Movies",Yes – Other pet(s),"Jazz/Blues, Pop",Ethan Jenkins,"Science Fiction/Fantasy, Horror/Thriller, Action/Adventure",I’m not very active,I don't do any physical activities,Countryside,Sightseeing/Cultural tours,"Learning a new language, Starting your own business",Smoking,It doesn't matter,"Tall, No strong preference",46+,Highly active/Sporty,5,3,Lack of ambition
Vanessa Ward,46,Prefer not to say,170 - 175 cm,Teacher,"Cars/Motorbikes, Tv shows/Movies",Yes – Other pet(s),"Manele, Rock",Ashley Jackson,Horror/Thriller,Frequently (more than 3 times a week),"Swimming/Water sports, I don't do any physical activities","Seaside, No strong preference",Relaxing on the beach,"Skydiving or bungee jumping, Traveling to a new continent, Starting your own business",Prefer not to say,It doesn't matter,"Natural look, Tall",26–35,Moderately active,4,3,"Poor hygiene, Excessive drinking"
Christopher Wade,31,Male,200+ cm,Business,"Tv shows/Movies, Gaming, Hiking",Yes – Other pet(s),"Classical, Jazz/Blues, Electronic",Kevin Schwartz,Comedy,Frequently (more than 3 times a week),Team sports,Seaside,Sightseeing/Cultural tours,Starting your own business,"Prefer not to say, None of the above",Female,Athletic build,18–25,Not very active,5,3,Lack of ambition
Brenda Morrow,20,Non-binary,150 - 155 cm,Business,"Reading, Tv shows/Movies, Gaming","No, but I would love to","Manele, Jazz/Blues",Tracy Willis,"Science Fiction/Fantasy, Drama",Occasionally (once a week or less),"Running/Jogging, Swimming/Water sports","Mountains, Adventure travel",Swimming/Water sports,"Traveling to a new continent, Starting your own business",Prefer not to say,Prefer not to say,Stylish/Well-groomed,No preference,No preference,4,2,None of the above
Garrett Johnson,28,Prefer not to say,150 - 155 cm,Healthcare,"Music/Art, Socializing, Traveling, Reading, Cars/Motorbikes","No, but I would love to",Electronic,Joel Jones,"Drama, Romance, Science Fiction/Fantasy",Occasionally (once a week or less),Yoga/Pilates,Countryside,"Hiking/Outdoor adventures, Sightseeing/Cultural tours","Traveling to a new continent, Skydiving or bungee jumping",Smoking,Female,"Stylish/Well-groomed, Tall",18–25,Not very active,4,1,"None of the above, Disrespectful behavior"
Kayla Beltran,47,Non-binary,160 - 165 cm,IT Professional,"Sports, Gym, Hiking, Traveling",Yes – Dog(s),Classical,Jack Shelton,"Romance, Comedy, Drama",I’m not very active,"Team sports, Running/Jogging","Adventure travel, Countryside",Sightseeing/Cultural tours,"Skydiving or bungee jumping, Running a marathon, Learning a new language","Regular alcohol consumption, Gambling",Female,"Natural look, Tall",36–45,Highly active/Sporty,1,2,"Disrespectful behavior, Poor hygiene, Smoking"
Robert Rodriguez,47,Non-binary,160 - 165 cm,Teacher,"Cars/Motorbikes, Cooking/Baking, Socializing, Tv shows/Movies","No, but I would love to","Manele, Electronic, Hip-Hop/Rap",Kerry Wilson,"Action/Adventure, Drama",Regularly (2–3 times a week),"I don't do any physical activities, Running/Jogging","Seaside, Mountains","Relaxing on the beach, Hiking/Outdoor adventures","Learning a new language, Running a marathon","None of the above, Regular alcohol consumption",Male,Natural look,26–35,Not very active,4,3,"Poor hygiene, None of the above"
Jeffrey Wilkerson,33,Prefer not to say,155 - 160 cm,Student,"Gaming, Socializing, Reading, Playing musical instruments",Yes – Cat(s),"Hip-Hop/Rap, Pop",Jessica Brooks,"Horror/Thriller, Drama",Regularly (2–3 times a week),"Team sports, Gym/Fitness classes","No strong preference, City breaks",Sightseeing/Cultural tours,"Starting your own business, Skydiving or bungee jumping, Traveling to a new continent","Prefer not to say, Smoking",Male,Natural look,26–35,No preference,5,5,Smoking
Elizabeth Sanchez,27,Female,195 - 200 cm,Healthcare,"Playing musical instruments, Tv shows/Movies, Hiking, Cooking/Baking",Yes – Multiple types,Pop,Hannah Buchanan,"Science Fiction/Fantasy, Romance",Frequently (more than 3 times a week),I don't do any physical activities,"Adventure travel, City breaks",Sightseeing/Cultural tours,"Traveling to a new continent, Learning a new language","None of the above, Smoking",It doesn't matter,"Natural look, No strong preference",18–25,No preference,1,4,Excessive drinking
Christine Holmes,47,Prefer not to say,155 - 160 cm,IT Professional,"Gaming, Playing musical instruments, Cars/Motorbikes, Cooking/Baking",Yes – Other pet(s),"Hip-Hop/Rap, Classical, Manele",Matthew Gordon,"Science Fiction/Fantasy, Horror/Thriller, Comedy",Frequently (more than 3 times a week),Running/Jogging,Mountains,Relaxing on the beach,Traveling to a new continent,"None of the above, Regular alcohol consumption",Female,"Stylish/Well-groomed, Natural look",36–45,No preference,1,4,"Lack of ambition, Poor hygiene, Disrespectful behavior"
Donald Chan,19,Non-binary,170 - 175 cm,Engineer,"Music/Art, Cooking/Baking, Socializing",Yes – Cat(s),"Hip-Hop/Rap, Manele, Electronic",Jacqueline Oliver,"Action/Adventure, Comedy",Occasionally (once a week or less),Swimming/Water sports,"Mountains, No strong preference",Hiking/Outdoor adventures,Skydiving or bungee jumping,"Smoking, Prefer not to say",Prefer not to say,"No strong preference, Athletic build",26–35,Not very active,3,4,Disrespectful behavior
Michael Suarez,30,Female,165 - 170 cm,Student,"Music/Art, Socializing, Playing musical instruments, Tv shows/Movies",Yes – Cat(s),Classical,Robert Bell,Action/Adventure,Frequently (more than 3 times a week),"Yoga/Pilates, Swimming/Water sports","No strong preference, Countryside",Relaxing on the beach,"Starting your own business, Learning a new language, Running a marathon",Smoking,Female,Stylish/Well-groomed,36–45,No preference,1,2,"Smoking, Disrespectful behavior"
Gregory Williams,31,Male,175 - 180 cm,Engineer,"Playing musical instruments, Music/Art, Gaming, Socializing",Yes – Cat(s),"Classical, Rock",Timothy Shannon,"Science Fiction/Fantasy, Drama",Frequently (more than 3 times a week),"Yoga/Pilates, Running/Jogging",City breaks,"Hiking/Outdoor adventures, Swimming/Water sports","Running a marathon, Learning a new language, Starting your own business",None of the above,Prefer not to say,"Tall, Stylish/Well-groomed",26–35,Not very active,1,3,None of the above
Miranda Delacruz,30,Prefer not to say,185 - 190 cm,Other,"Gym, Music/Art, Playing musical instruments, Hiking, Cooking/Baking",No,Manele,Randy Freeman,"Drama, Science Fiction/Fantasy",Regularly (2–3 times a week),Team sports,Countryside,"Swimming/Water sports, Hiking/Outdoor adventures",Learning a new language,"Prefer not to say, Gambling",Prefer not to say,Stylish/Well-groomed,18–25,Not very active,3,3,Poor hygiene
Robert Brown,42,Non-binary,180 - 185 cm,IT Professional,Gym,Yes – Multiple types,Manele,Barry Haynes,"Science Fiction/Fantasy, Action/Adventure",Regularly (2–3 times a week),I don't do any physical activities,"Countryside, City breaks",Hiking/Outdoor adventures,"Running a marathon, Starting your own business","Regular alcohol consumption, Smoking",Female,No strong preference,46+,Moderately active,3,4,"Lack of ambition, Smoking"
Mike Gomez,46,Prefer not to say,185 - 190 cm,Student,"Gym, Socializing, Gaming, Cooking/Baking, Tv shows/Movies",Yes – Multiple types,"Classical, Manele, Electronic",Kyle Coleman,"Action/Adventure, Drama, Science Fiction/Fantasy",I’m not very active,Gym/Fitness classes,"City breaks, Adventure travel",Sightseeing/Cultural tours,Skydiving or bungee jumping,Prefer not to say,It doesn't matter,Athletic build,18–25,Moderately active,4,2,"None of the above, Smoking"
Grace Perez,40,Female,160 - 165 cm,Artist,"Hiking, Sports",No,Manele,Emily Young,"Science Fiction/Fantasy, Horror/Thriller",Regularly (2–3 times a week),"Swimming/Water sports, I don't do any physical activities",Countryside,Hiking/Outdoor adventures,"Traveling to a new continent, Skydiving or bungee jumping",Regular alcohol consumption,It doesn't matter,Natural look,46+,No preference,1,1,"Excessive drinking, Lack of ambition"
Maria Maldonado,47,Prefer not to say,200+ cm,IT Professional,"Traveling, Gaming, Cooking/Baking, Cars/Motorbikes, Tv shows/Movies",Yes – Multiple types,"Pop, Classical, Electronic",Wendy Cortez,Horror/Thriller,Frequently (more than 3 times a week),Swimming/Water sports,"Adventure travel, Countryside",Hiking/Outdoor adventures,Skydiving or bungee jumping,Prefer not to say,It doesn't matter,No strong preference,46+,Highly active/Sporty,5,2,"Lack of ambition, Smoking, None of the above"
Olivia Little,23,Prefer not to say,170 - 175 cm,Teacher,"Music/Art, Sports, Tv shows/Movies, Hiking",Yes – Multiple types,"Electronic, Hip-Hop/Rap, Classical",Kenneth Haynes,Action/Adventure,Regularly (2–3 times a week),"Team sports, Yoga/Pilates","City breaks, Seaside","Relaxing on the beach, Hiking/Outdoor adventures","Traveling to a new continent, Starting your own business","Smoking, None of the above",It doesn't matter,"Stylish/Well-groomed, Athletic build",18–25,Highly active/Sporty,3,2,Smoking
Felicia Jones,43,Non-binary,170 - 175 cm,Healthcare,"Gym, Cooking/Baking, Playing musical instruments, Traveling","No, but I would love to","Jazz/Blues, Manele",Kimberly Krause,"Action/Adventure, Horror/Thriller",Occasionally (once a week or less),I don't do any physical activities,Mountains,"Relaxing on the beach, Swimming/Water sports",Traveling to a new continent,"Gambling, Regular alcohol consumption",It doesn't matter,Natural look,26–35,Highly active/Sporty,2,4,Lack of ambition
Kathryn Miller,19,Male,160 - 165 cm,Student,Socializing,Yes – Cat(s),"Manele, Hip-Hop/Rap, Classical",Melissa Morris,"Science Fiction/Fantasy, Action/Adventure",Frequently (more than 3 times a week),I don't do any physical activities,"No strong preference, Seaside","Sightseeing/Cultural tours, Relaxing on the beach",Starting your own business,"Regular alcohol consumption, Prefer not to say",It doesn't matter,Tall,26–35,Not very active,4,3,"Disrespectful behavior, Poor hygiene"
Sandra Kramer,46,Non-binary,185 - 190 cm,Teacher,"Cooking/Baking, Gaming","No, but I would love to","Pop, Jazz/Blues, Manele",Terrence Gonzalez,Horror/Thriller,I’m not very active,Team sports,"Mountains, Seaside",Hiking/Outdoor adventures,"Starting your own business, Traveling to a new continent",Gambling,It doesn't matter,Stylish/Well-groomed,46+,Highly active/Sporty,1,4,"Smoking, Poor hygiene, Excessive drinking"
Erin Snyder,41,Non-binary,200+ cm,Teacher,"Cars/Motorbikes, Cooking/Baking, Reading, Socializing",Yes – Cat(s),Electronic,David Barnes,"Science Fiction/Fantasy, Drama",I’m not very active,Team sports,"Mountains, Seaside","Sightseeing/Cultural tours, Relaxing on the beach",Skydiving or bungee jumping,"Regular alcohol consumption, Smoking",Female,Tall,36–45,Not very active,3,1,Poor hygiene
Beth Glenn,27,Male,195 - 200 cm,Artist,"Cooking/Baking, Music/Art",Yes – Dog(s),"Pop, Rock",Courtney Hicks,Drama,I’m not very active,I don't do any physical activities,"Countryside, Adventure travel",Swimming/Water sports,"Learning a new language, Skydiving or bungee jumping, Running a marathon","None of the above, Smoking",Female,No strong preference,36–45,Moderately active,2,4,"None of the above, Excessive drinking, Smoking"
Lisa Clark,44,Female,150 - 155 cm,Engineer,"Tv shows/Movies, Cooking/Baking, Hiking",Yes – Multiple types,"Manele, Classical, Rock",Michelle Brown,"Romance, Science Fiction/Fantasy, Horror/Thriller",Regularly (2–3 times a week),"Gym/Fitness classes, Team sports","No strong preference, Adventure travel","Sightseeing/Cultural tours, Relaxing on the beach",Traveling to a new continent,"Regular alcohol consumption, Prefer not to say",It doesn't matter,No strong preference,46+,No preference,2,1,None of the above
Alexis Cook,44,Male,190 - 195 cm,Healthcare,"Gym, Music/Art, Sports, Gaming","No, but I would love to","Manele, Rock, Electronic",Ian Morton,"Comedy, Horror/Thriller, Drama",I’m not very active,I don't do any physical activities,"Seaside, No strong preference","Hiking/Outdoor adventures, Swimming/Water sports","Traveling to a new continent, Skydiving or bungee jumping, Starting your own business","Regular alcohol consumption, Gambling",Prefer not to say,"Athletic build, Tall",36–45,Moderately active,1,3,"Lack of ambition, Excessive drinking, Disrespectful behavior"
Amanda Holt,22,Non-binary,195 - 200 cm,IT Professional,"Reading, Traveling, Cars/Motorbikes, Socializing",No,Rock,Heather Young,"Science Fiction/Fantasy, Horror/Thriller, Comedy",I’m not very active,Running/Jogging,Mountains,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Running a marathon",Gambling,Male,"Natural look, No strong preference",26–35,No preference,1,5,"None of the above, Lack of ambition"
Emily Mcpherson,32,Non-binary,180 - 185 cm,IT Professional,"Socializing, Music/Art, Tv shows/Movies",Yes – Multiple types,"Rock, Jazz/Blues, Pop",Benjamin Ross,"Comedy, Romance",I’m not very active,"Swimming/Water sports, Gym/Fitness classes",Mountains,Hiking/Outdoor adventures,"Starting your own business, Traveling to a new continent, Skydiving or bungee jumping",Prefer not to say,Female,"No strong preference, Tall",18–25,Moderately active,5,4,Lack of ambition
Meagan Berg,26,Non-binary,185 - 190 cm,Teacher,"Music/Art, Tv shows/Movies, Cooking/Baking, Playing musical instruments, Gym",No,Manele,Emily Munoz,Drama,Regularly (2–3 times a week),"Swimming/Water sports, Team sports",Seaside,"Hiking/Outdoor adventures, Swimming/Water sports","Skydiving or bungee jumping, Starting your own business, Learning a new language","Gambling, Prefer not to say",Female,Tall,46+,Moderately active,5,2,"Poor hygiene, Lack of ambition, Smoking"
Joshua Green,38,Prefer not to say,170 - 175 cm,IT Professional,"Hiking, Gaming",Yes – Cat(s),"Classical, Hip-Hop/Rap, Jazz/Blues",Daniel Franklin,Science Fiction/Fantasy,Frequently (more than 3 times a week),I don't do any physical activities,Countryside,Relaxing on the beach,"Skydiving or bungee jumping, Starting your own business",Prefer not to say,Male,"Natural look, Stylish/Well-groomed",26–35,Not very active,3,3,"None of the above, Poor hygiene"
Jessica Morales,40,Male,155 - 160 cm,IT Professional,"Traveling, Reading, Music/Art",Yes – Other pet(s),Pop,Andrea Daniel,Action/Adventure,Frequently (more than 3 times a week),"Running/Jogging, Gym/Fitness classes",Adventure travel,Relaxing on the beach,"Starting your own business, Skydiving or bungee jumping, Traveling to a new continent",Regular alcohol consumption,Prefer not to say,No strong preference,46+,Moderately active,1,4,Smoking
Leslie Hernandez,41,Female,175 - 180 cm,IT Professional,Gaming,Yes – Multiple types,Hip-Hop/Rap,Clifford Marquez,"Drama, Comedy",Regularly (2–3 times a week),"Yoga/Pilates, Gym/Fitness classes",Seaside,"Hiking/Outdoor adventures, Swimming/Water sports","Skydiving or bungee jumping, Traveling to a new continent, Learning a new language","Gambling, Regular alcohol consumption",Prefer not to say,Tall,36–45,No preference,4,3,Excessive drinking
Robin Hampton,30,Non-binary,200+ cm,Other,"Reading, Hiking, Playing musical instruments, Socializing","No, but I would love to","Hip-Hop/Rap, Pop",Leslie Serrano,"Romance, Horror/Thriller, Action/Adventure",I’m not very active,"Team sports, Running/Jogging","Mountains, Seaside",Sightseeing/Cultural tours,"Skydiving or bungee jumping, Learning a new language, Traveling to a new continent","Smoking, None of the above",Female,Stylish/Well-groomed,36–45,No preference,3,1,"None of the above, Smoking"
Denise Hancock,41,Female,165 - 170 cm,Teacher,"Cooking/Baking, Traveling, Music/Art, Gym",Yes – Other pet(s),"Hip-Hop/Rap, Rock, Pop",Samantha Bowen DDS,Comedy,Regularly (2–3 times a week),Gym/Fitness classes,City breaks,Swimming/Water sports,Traveling to a new continent,"None of the above, Prefer not to say",Male,"Tall, No strong preference",46+,Moderately active,5,2,None of the above
Latasha Patterson,39,Non-binary,175 - 180 cm,Artist,"Playing musical instruments, Socializing, Hiking, Cooking/Baking, Tv shows/Movies",Yes – Multiple types,"Rock, Electronic, Jazz/Blues",April Padilla,"Comedy, Romance, Action/Adventure",Frequently (more than 3 times a week),Gym/Fitness classes,"No strong preference, Adventure travel","Swimming/Water sports, Hiking/Outdoor adventures","Learning a new language, Skydiving or bungee jumping",Regular alcohol consumption,Male,Natural look,46+,Highly active/Sporty,5,5,"Disrespectful behavior, Poor hygiene, None of the above"
Margaret Ray,27,Female,195 - 200 cm,Artist,"Gaming, Traveling",Yes – Cat(s),Hip-Hop/Rap,Carol Figueroa,"Action/Adventure, Horror/Thriller",Occasionally (once a week or less),Running/Jogging,"Adventure travel, City breaks","Relaxing on the beach, Sightseeing/Cultural tours","Traveling to a new continent, Skydiving or bungee jumping, Running a marathon",Regular alcohol consumption,Male,"Athletic build, Stylish/Well-groomed",No preference,Highly active/Sporty,1,5,"Lack of ambition, Disrespectful behavior, Poor hygiene"
Joyce Harris,24,Prefer not to say,150 - 155 cm,Engineer,"Tv shows/Movies, Traveling, Playing musical instruments, Music/Art",Yes – Multiple types,"Classical, Hip-Hop/Rap",Laura Gardner,Romance,Frequently (more than 3 times a week),"Swimming/Water sports, Gym/Fitness classes",City breaks,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Traveling to a new continent","None of the above, Smoking",Female,Stylish/Well-groomed,No preference,Moderately active,2,1,Disrespectful behavior
Scott Castaneda,19,Female,165 - 170 cm,Teacher,"Gym, Music/Art, Gaming",No,"Classical, Jazz/Blues, Hip-Hop/Rap",Troy Howard,"Horror/Thriller, Action/Adventure",Occasionally (once a week or less),"Running/Jogging, Yoga/Pilates",City breaks,"Swimming/Water sports, Relaxing on the beach",Running a marathon,Smoking,Female,Athletic build,36–45,Highly active/Sporty,4,5,"None of the above, Disrespectful behavior"
Mitchell Love Jr.,46,Prefer not to say,200+ cm,Healthcare,Gym,Yes – Dog(s),Manele,Amy Kane,"Drama, Science Fiction/Fantasy",Regularly (2–3 times a week),"Swimming/Water sports, Gym/Fitness classes","City breaks, Seaside","Relaxing on the beach, Sightseeing/Cultural tours","Skydiving or bungee jumping, Learning a new language, Traveling to a new continent","Smoking, Regular alcohol consumption",Male,"Stylish/Well-groomed, Tall",46+,Moderately active,3,4,"Lack of ambition, Excessive drinking, None of the above"
Timothy Hammond,41,Male,160 - 165 cm,IT Professional,Hiking,"No, but I would love to","Classical, Hip-Hop/Rap",Mr. Christopher Rice MD,"Romance, Action/Adventure, Comedy",Regularly (2–3 times a week),I don't do any physical activities,Countryside,"Hiking/Outdoor adventures, Relaxing on the beach","Starting your own business, Learning a new language, Traveling to a new continent",Prefer not to say,Male,Stylish/Well-groomed,36–45,Highly active/Sporty,1,3,"Excessive drinking, Smoking"
Paul Moon,29,Prefer not to say,200+ cm,Teacher,"Cooking/Baking, Hiking, Playing musical instruments, Music/Art, Reading","No, but I would love to","Manele, Jazz/Blues",Jacqueline Morgan,Horror/Thriller,Frequently (more than 3 times a week),"I don't do any physical activities, Team sports","No strong preference, Adventure travel",Hiking/Outdoor adventures,"Skydiving or bungee jumping, Traveling to a new continent, Running a marathon",Prefer not to say,Male,"Tall, Natural look",26–35,Highly active/Sporty,5,1,"Lack of ambition, Poor hygiene"
Erin Davis,27,Male,190 - 195 cm,Healthcare,"Sports, Cooking/Baking, Playing musical instruments, Cars/Motorbikes, Hiking","No, but I would love to","Rock, Jazz/Blues",Matthew Wright,"Horror/Thriller, Drama, Romance",Occasionally (once a week or less),"Yoga/Pilates, I don't do any physical activities","Mountains, No strong preference","Swimming/Water sports, Sightseeing/Cultural tours","Learning a new language, Traveling to a new continent, Running a marathon",Prefer not to say,It doesn't matter,No strong preference,36–45,Not very active,2,4,"None of the above, Excessive drinking"
Kristin Hensley,37,Male,165 - 170 cm,Healthcare,"Cooking/Baking, Reading, Sports, Traveling, Playing musical instruments",Yes – Dog(s),"Classical, Manele, Pop",Andrew Price,"Romance, Action/Adventure",I’m not very active,Swimming/Water sports,"Mountains, Adventure travel",Swimming/Water sports,Starting your own business,"Regular alcohol consumption, None of the above",Female,No strong preference,No preference,No preference,5,5,Poor hygiene
Tamara Brooks,42,Prefer not to say,190 - 195 cm,IT Professional,"Cars/Motorbikes, Hiking, Playing musical instruments, Traveling, Music/Art",Yes – Cat(s),"Pop, Electronic",Stephen Ingram,"Drama, Science Fiction/Fantasy",Frequently (more than 3 times a week),"Yoga/Pilates, I don't do any physical activities",Countryside,"Swimming/Water sports, Hiking/Outdoor adventures","Starting your own business, Running a marathon","None of the above, Prefer not to say",Female,"Stylish/Well-groomed, Tall",18–25,Not very active,1,2,Disrespectful behavior
Erin Riggs,28,Prefer not to say,200+ cm,Other,"Sports, Cars/Motorbikes",No,Jazz/Blues,Kevin Wood,"Drama, Comedy, Action/Adventure",Frequently (more than 3 times a week),"I don't do any physical activities, Gym/Fitness classes",Seaside,Relaxing on the beach,"Learning a new language, Traveling to a new continent","Regular alcohol consumption, Prefer not to say",It doesn't matter,"Tall, Athletic build",26–35,No preference,2,4,Poor hygiene
Alex Brown,46,Prefer not to say,180 - 185 cm,Business,"Playing musical instruments, Traveling, Socializing, Tv shows/Movies, Cars/Motorbikes",Yes – Cat(s),"Classical, Pop, Electronic",Jesse Gallagher,"Drama, Science Fiction/Fantasy",I’m not very active,"Running/Jogging, Yoga/Pilates","Seaside, Countryside",Hiking/Outdoor adventures,Learning a new language,Smoking,Male,"Athletic build, Tall",No preference,Not very active,2,3,Lack of ambition
Brooke Ward,36,Female,160 - 165 cm,Engineer,Tv shows/Movies,No,"Pop, Classical",Collin Snyder,"Comedy, Science Fiction/Fantasy",Regularly (2–3 times a week),Swimming/Water sports,City breaks,"Swimming/Water sports, Hiking/Outdoor adventures","Running a marathon, Traveling to a new continent, Learning a new language","Gambling, None of the above",Female,"Tall, Athletic build",36–45,Highly active/Sporty,4,3,Lack of ambition
Molly Graham,31,Prefer not to say,190 - 195 cm,Healthcare,"Gym, Gaming, Music/Art, Socializing, Playing musical instruments",Yes – Dog(s),"Rock, Manele",Joshua Hayes,"Drama, Science Fiction/Fantasy, Romance",I’m not very active,Running/Jogging,"Seaside, Countryside","Sightseeing/Cultural tours, Relaxing on the beach",Traveling to a new continent,Prefer not to say,It doesn't matter,"Athletic build, No strong preference",46+,No preference,4,1,Lack of ambition
Kenneth Rocha,38,Male,150 - 155 cm,Artist,"Reading, Gaming, Tv shows/Movies, Traveling",No,"Jazz/Blues, Pop, Classical",Nicholas Jones,"Action/Adventure, Science Fiction/Fantasy",Regularly (2–3 times a week),I don't do any physical activities,"Countryside, Seaside","Sightseeing/Cultural tours, Swimming/Water sports","Running a marathon, Learning a new language, Starting your own business",Prefer not to say,Male,"Stylish/Well-groomed, Natural look",26–35,Moderately active,5,3,"Disrespectful behavior, Lack of ambition"
Rebecca Fleming,22,Prefer not to say,175 - 180 cm,IT Professional,"Cooking/Baking, Traveling, Gym, Tv shows/Movies",Yes – Multiple types,"Jazz/Blues, Electronic",Laura Bauer,Drama,I’m not very active,"Gym/Fitness classes, Yoga/Pilates",City breaks,Hiking/Outdoor adventures,"Traveling to a new continent, Running a marathon, Skydiving or bungee jumping","Prefer not to say, Gambling",Female,Athletic build,18–25,Not very active,3,3,"Poor hygiene, Lack of ambition, Excessive drinking"
Shelly Farmer,47,Non-binary,175 - 180 cm,Other,"Traveling, Cars/Motorbikes, Socializing, Playing musical instruments",Yes – Dog(s),"Classical, Pop, Jazz/Blues",Michael Cooper,Romance,I’m not very active,Running/Jogging,"No strong preference, Adventure travel",Swimming/Water sports,"Traveling to a new continent, Skydiving or bungee jumping, Starting your own business",Prefer not to say,Male,"Stylish/Well-groomed, No strong preference",36–45,Highly active/Sporty,4,5,"Smoking, Disrespectful behavior"
Kathy Perry,28,Non-binary,180 - 185 cm,Other,"Gym, Cars/Motorbikes",Yes – Other pet(s),Jazz/Blues,Michael Mueller,"Drama, Science Fiction/Fantasy, Action/Adventure",Occasionally (once a week or less),Gym/Fitness classes,"Countryside, City breaks","Sightseeing/Cultural tours, Swimming/Water sports",Skydiving or bungee jumping,Smoking,Male,Athletic build,46+,Not very active,1,2,None of the above
Dan Jimenez,35,Non-binary,195 - 200 cm,IT Professional,Tv shows/Movies,Yes – Multiple types,"Pop, Classical",Kristen Livingston,"Science Fiction/Fantasy, Horror/Thriller, Comedy",I’m not very active,Team sports,Seaside,"Relaxing on the beach, Hiking/Outdoor adventures",Running a marathon,"Prefer not to say, None of the above",Male,"Athletic build, Natural look",36–45,No preference,1,4,"Disrespectful behavior, Lack of ambition, Poor hygiene"
Lisa Smith,35,Female,150 - 155 cm,Healthcare,"Gym, Tv shows/Movies",No,"Rock, Electronic, Jazz/Blues",Carla White,"Drama, Action/Adventure",I’m not very active,"I don't do any physical activities, Running/Jogging",City breaks,"Hiking/Outdoor adventures, Sightseeing/Cultural tours",Skydiving or bungee jumping,"Gambling, Smoking",It doesn't matter,No strong preference,No preference,Highly active/Sporty,2,2,Disrespectful behavior
